TotalDeteccionesdepadecimientos,anio,Total
"     Aguascalientes",2001,325635
"     Baja California",2001,611923
"     Baja California Sur",2001,124284
"     Campeche",2001,182152
"     Chiapas",2001,329757
"     Chihuahua",2001,1079374
"     Coahuila ",2001,835515
"     Colima",2001,209116
"     D.F. Norte",2001,1175174
"     D.F. Sur",2001,1583305
"     Durango",2001,457791
"     Guanajuato",2001,1024105
"     Guerrero",2001,312884
"     Hidalgo",2001,223182
"     Jalisco",2001,1684515
"     México Oriente",2001,1435681
"     México Poniente",2001,884240
"     Michoacán",2001,616583
"     Morelos",2001,321757
"     Nayarit",2001,211704
"     Nuevo León",2001,1558403
"     Oaxaca",2001,333586
"     Puebla",2001,721139
"     Querétaro",2001,311803
"     Quintana Roo",2001,244617
"     San Luis Potosí",2001,417407
"     Sinaloa",2001,790763
"     Sonora",2001,675044
"     Tabasco",2001,234398
"     Tamaulipas",2001,913449
"     Tlaxcala",2001,206215
"     Veracruz Norte",2001,625878
"     Veracruz Sur",2001,589806
"     Yucatán",2001,403174
"     Zacatecas",2001,247523
