TotalDeteccionesdepadecimientos,anio,Total
"     Aguascalientes",2017,1238810
"     Baja California",2017,3035906
"     Baja California Sur",2017,582337
"     Campeche",2017,553728
"     Chiapas",2017,997458
"     Chihuahua",2017,2358413
"     Coahuila ",2017,3064139
"     Colima",2017,576785
"     D.F. Norte",2017,3991413
"     D.F. Sur",2017,4460627
"     Durango",2017,1130988
"     Guanajuato",2017,1868404
"     Guerrero",2017,826167
"     Hidalgo",2017,818969
"     Jalisco",2017,5292591
"     México Oriente",2017,4457534
"     México Poniente",2017,2669040
"     Michoacán",2017,1699046
"     Morelos",2017,778407
"     Nayarit",2017,659180
"     Nuevo León",2017,7178901
"     Oaxaca",2017,718739
"     Puebla",2017,2265983
"     Querétaro",2017,1092759
"     Quintana Roo",2017,1025856
"     San Luis Potosí",2017,1717072
"     Sinaloa",2017,2038741
"     Sonora",2017,2195127
"     Tabasco",2017,883902
"     Tamaulipas",2017,2418319
"     Tlaxcala",2017,494950
"     Veracruz Norte",2017,2962612
"     Veracruz Sur",2017,1049223
"     Yucatán",2017,1163593
"     Zacatecas",2017,395689
