TotalDeteccionesdepadecimientos,anio,Total
"     Aguascalientes",2016,1243050
"     Baja California",2016,2852106
"     Baja California Sur",2016,651755
"     Campeche",2016,677571
"     Chiapas",2016,985263
"     Chihuahua",2016,2661739
"     Coahuila ",2016,3097456
"     Colima",2016,579725
"     D.F. Norte",2016,3939232
"     D.F. Sur",2016,4772161
"     Durango",2016,1174946
"     Guanajuato",2016,2157549
"     Guerrero",2016,994553
"     Hidalgo",2016,864088
"     Jalisco",2016,5502947
"     México Oriente",2016,5136878
"     México Poniente",2016,2564953
"     Michoacán",2016,1875782
"     Morelos",2016,901905
"     Nayarit",2016,712606
"     Nuevo León",2016,6847744
"     Oaxaca",2016,750362
"     Puebla",2016,2502248
"     Querétaro",2016,1069078
"     Quintana Roo",2016,1058507
"     San Luis Potosí",2016,1852829
"     Sinaloa",2016,2223477
"     Sonora",2016,2386583
"     Tabasco",2016,915266
"     Tamaulipas",2016,2817653
"     Tlaxcala",2016,551036
"     Veracruz Norte",2016,2826444
"     Veracruz Sur",2016,1193915
"     Yucatán",2016,1337246
"     Zacatecas",2016,357734
