TotalDeteccionesdepadecimientos,anio,Total
"     Aguascalientes",2019,936458
"     Baja California",2019,2503273
"     Baja California Sur",2019,533411
"     Campeche",2019,441368
"     Chiapas",2019,874938
"     Chihuahua",2019,1976689
"     Coahuila ",2019,3024462
"     Colima",2019,520286
"     D.F. Norte",2019,4017830
"     D.F. Sur",2019,3740577
"     Durango",2019,1138916
"     Guanajuato",2019,1654099
"     Guerrero",2019,744711
"     Hidalgo",2019,888449
"     Jalisco",2019,5109952
"     México Oriente",2019,4214756
"     México Poniente",2019,2574923
"     Michoacán",2019,1445788
"     Morelos",2019,817221
"     Nayarit",2019,567835
"     Nuevo León",2019,7003298
"     Oaxaca",2019,708567
"     Puebla",2019,2356904
"     Querétaro",2019,982576
"     Quintana Roo",2019,958608
"     San Luis Potosí",2019,1426536
"     Sinaloa",2019,1926367
"     Sonora",2019,1926742
"     Tabasco",2019,805568
"     Tamaulipas",2019,2376608
"     Tlaxcala",2019,488683
"     Veracruz Norte",2019,2654197
"     Veracruz Sur",2019,1036706
"     Yucatán",2019,1136007
"     Zacatecas",2019,344784
