TotalDeteccionesdepadecimientos,anio,Total
"     Aguascalientes",2014,1095303
"     Baja California",2014,2705576
"     Baja California Sur",2014,618966
"     Campeche",2014,501281
"     Chiapas",2014,890797
"     Chihuahua",2014,2506296
"     Coahuila ",2014,2445913
"     Colima",2014,521305
"     D.F. Norte",2014,3111610
"     D.F. Sur",2014,4671797
"     Durango",2014,1205075
"     Guanajuato",2014,2133164
"     Guerrero",2014,1010101
"     Hidalgo",2014,932506
"     Jalisco",2014,5142075
"     México Oriente",2014,5372945
"     México Poniente",2014,2678511
"     Michoacán",2014,1513468
"     Morelos",2014,880190
"     Nayarit",2014,738425
"     Nuevo León",2014,5615054
"     Oaxaca",2014,683267
"     Puebla",2014,1844388
"     Querétaro",2014,1046699
"     Quintana Roo",2014,685584
"     San Luis Potosí",2014,1673573
"     Sinaloa",2014,1902987
"     Sonora",2014,1944453
"     Tabasco",2014,786634
"     Tamaulipas",2014,2397317
"     Tlaxcala",2014,487896
"     Veracruz Norte",2014,2186742
"     Veracruz Sur",2014,1228098
"     Yucatán",2014,1173235
"     Zacatecas",2014,418957
