TotalDeteccionesdepadecimientos,anio,Total
"     Aguascalientes",2008,801428
"     Baja California",2008,1604382
"     Baja California Sur",2008,440173
"     Campeche",2008,258945
"     Chiapas",2008,859507
"     Chihuahua",2008,1454752
"     Coahuila ",2008,1946414
"     Colima",2008,326702
"     D.F. Norte",2008,3453793
"     D.F. Sur",2008,2846264
"     Durango",2008,741273
"     Guanajuato",2008,1970235
"     Guerrero",2008,855562
"     Hidalgo",2008,507109
"     Jalisco",2008,3553976
"     México Oriente",2008,3121884
"     México Poniente",2008,1381832
"     Michoacán",2008,1240274
"     Morelos",2008,570848
"     Nayarit",2008,445621
"     Nuevo León",2008,3216135
"     Oaxaca",2008,496282
"     Puebla",2008,1831850
"     Querétaro",2008,954837
"     Quintana Roo",2008,549108
"     San Luis Potosí",2008,1239113
"     Sinaloa",2008,1145410
"     Sonora",2008,1226971
"     Tabasco",2008,484566
"     Tamaulipas",2008,1450762
"     Tlaxcala",2008,321265
"     Veracruz Norte",2008,1986164
"     Veracruz Sur",2008,1118727
"     Yucatán",2008,887119
"     Zacatecas",2008,288601
