TotalDeteccionesdepadecimientos,anio,Total
"     Aguascalientes",2011,1095825
"     Baja California",2011,2162719
"     Baja California Sur",2011,577551
"     Campeche",2011,455844
"     Chiapas",2011,890282
"     Chihuahua",2011,2197246
"     Coahuila ",2011,2422900
"     Colima",2011,492514
"     D.F. Norte",2011,2837894
"     D.F. Sur",2011,4037047
"     Durango",2011,1405124
"     Guanajuato",2011,2538085
"     Guerrero",2011,971273
"     Hidalgo",2011,851499
"     Jalisco",2011,4569472
"     México Oriente",2011,5626015
"     México Poniente",2011,2040534
"     Michoacán",2011,1419014
"     Morelos",2011,982421
"     Nayarit",2011,693846
"     Nuevo León",2011,4931446
"     Oaxaca",2011,688209
"     Puebla",2011,1911002
"     Querétaro",2011,992895
"     Quintana Roo",2011,599634
"     San Luis Potosí",2011,1311767
"     Sinaloa",2011,2050133
"     Sonora",2011,1681279
"     Tabasco",2011,529598
"     Tamaulipas",2011,1887370
"     Tlaxcala",2011,437425
"     Veracruz Norte",2011,2090511
"     Veracruz Sur",2011,1311204
"     Yucatán",2011,1130918
"     Zacatecas",2011,412669
