TotalDeteccionesdepadecimientos,anio,Total
"     Aguascalientes",2000,333585
"     Baja California",2000,599440
"     Baja California Sur",2000,120869
"     Campeche",2000,171825
"     Chiapas",2000,349105
"     Chihuahua",2000,1110899
"     Coahuila ",2000,745542
"     Colima",2000,205250
"     D.F. Norte",2000,1380968
"     D.F. Sur",2000,1596973
"     Durango",2000,434136
"     Guanajuato",2000,1086144
"     Guerrero",2000,303844
"     Hidalgo",2000,252421
"     Jalisco",2000,1759419
"     México Oriente",2000,1462565
"     México Poniente",2000,801766
"     Michoacán",2000,646308
"     Morelos",2000,345003
"     Nayarit",2000,187011
"     Nuevo León",2000,1567000
"     Oaxaca",2000,323591
"     Puebla",2000,813044
"     Querétaro",2000,338199
"     Quintana Roo",2000,295490
"     San Luis Potosí",2000,388570
"     Sinaloa",2000,894715
"     Sonora",2000,728607
"     Tabasco",2000,234520
"     Tamaulipas",2000,972952
"     Tlaxcala",2000,184676
"     Veracruz Norte",2000,725425
"     Veracruz Sur",2000,719119
"     Yucatán",2000,484415
"     Zacatecas",2000,249511
