TotalDeteccionesdepadecimientos,anio,Total
"     Aguascalientes",2004,689145
"     Baja California",2004,1580807
"     Baja California Sur",2004,530911
"     Campeche",2004,447213
"     Chiapas",2004,638815
"     Chihuahua",2004,2309552
"     Coahuila ",2004,2379094
"     Colima",2004,381971
"     D.F. Norte",2004,3016811
"     D.F. Sur",2004,2389796
"     Durango",2004,880722
"     Guanajuato",2004,2233218
"     Guerrero",2004,714065
"     Hidalgo",2004,797722
"     Jalisco",2004,3699948
"     México Oriente",2004,3532736
"     México Poniente",2004,1836977
"     Michoacán",2004,1376096
"     Morelos",2004,860887
"     Nayarit",2004,444569
"     Nuevo León",2004,2762862
"     Oaxaca",2004,644796
"     Puebla",2004,2157365
"     Querétaro",2004,1010802
"     Quintana Roo",2004,694823
"     San Luis Potosí",2004,1250237
"     Sinaloa",2004,2235481
"     Sonora",2004,1244577
"     Tabasco",2004,393697
"     Tamaulipas",2004,1752885
"     Tlaxcala",2004,407260
"     Veracruz Norte",2004,1970706
"     Veracruz Sur",2004,1602152
"     Yucatán",2004,1211720
"     Zacatecas",2004,588391
