TotalDeteccionesdepadecimientos,anio,Total
"     Aguascalientes",2012,1154849
"     Baja California",2012,2772879
"     Baja California Sur",2012,697879
"     Campeche",2012,507244
"     Chiapas",2012,928110
"     Chihuahua",2012,2608869
"     Coahuila ",2012,2631079
"     Colima",2012,567890
"     D.F. Norte",2012,3116523
"     D.F. Sur",2012,4431803
"     Durango",2012,1508586
"     Guanajuato",2012,2848146
"     Guerrero",2012,963795
"     Hidalgo",2012,1013844
"     Jalisco",2012,5217465
"     México Oriente",2012,6404166
"     México Poniente",2012,2807284
"     Michoacán",2012,1713667
"     Morelos",2012,1044330
"     Nayarit",2012,727306
"     Nuevo León",2012,5494337
"     Oaxaca",2012,701806
"     Puebla",2012,1986723
"     Querétaro",2012,989785
"     Quintana Roo",2012,677431
"     San Luis Potosí",2012,1371223
"     Sinaloa",2012,2237245
"     Sonora",2012,1967295
"     Tabasco",2012,748395
"     Tamaulipas",2012,2123998
"     Tlaxcala",2012,493472
"     Veracruz Norte",2012,2357515
"     Veracruz Sur",2012,1576190
"     Yucatán",2012,1295299
"     Zacatecas",2012,412971
