TotalDeteccionesdepadecimientos,anio,Total
"     Aguascalientes",2010,989817
"     Baja California",2010,1752977
"     Baja California Sur",2010,598374
"     Campeche",2010,441030
"     Chiapas",2010,918374
"     Chihuahua",2010,1623618
"     Coahuila ",2010,2247344
"     Colima",2010,452322
"     D.F. Norte",2010,2955473
"     D.F. Sur",2010,3820546
"     Durango",2010,1085273
"     Guanajuato",2010,2557279
"     Guerrero",2010,920317
"     Hidalgo",2010,649492
"     Jalisco",2010,3808586
"     México Oriente",2010,4658892
"     México Poniente",2010,1917142
"     Michoacán",2010,1231676
"     Morelos",2010,901699
"     Nayarit",2010,524612
"     Nuevo León",2010,4321764
"     Oaxaca",2010,566181
"     Puebla",2010,1975963
"     Querétaro",2010,923670
"     Quintana Roo",2010,699475
"     San Luis Potosí",2010,1239880
"     Sinaloa",2010,1547745
"     Sonora",2010,1354660
"     Tabasco",2010,511594
"     Tamaulipas",2010,1966723
"     Tlaxcala",2010,375267
"     Veracruz Norte",2010,2092699
"     Veracruz Sur",2010,1255779
"     Yucatán",2010,1059709
"     Zacatecas",2010,382098
