TotalDeteccionesdepadecimientos,anio,Total
"     Aguascalientes",2015,1229067
"     Baja California",2015,3106261
"     Baja California Sur",2015,597622
"     Campeche",2015,554331
"     Chiapas",2015,998778
"     Chihuahua",2015,2469943
"     Coahuila ",2015,2830690
"     Colima",2015,559042
"     D.F. Norte",2015,3950488
"     D.F. Sur",2015,4592542
"     Durango",2015,1167398
"     Guanajuato",2015,1962185
"     Guerrero",2015,1068519
"     Hidalgo",2015,955883
"     Jalisco",2015,5371616
"     México Oriente",2015,5462159
"     México Poniente",2015,2797372
"     Michoacán",2015,1757748
"     Morelos",2015,649660
"     Nayarit",2015,751208
"     Nuevo León",2015,6153203
"     Oaxaca",2015,709063
"     Puebla",2015,2593181
"     Querétaro",2015,1051502
"     Quintana Roo",2015,844322
"     San Luis Potosí",2015,1735559
"     Sinaloa",2015,2173691
"     Sonora",2015,2443446
"     Tabasco",2015,850112
"     Tamaulipas",2015,2612584
"     Tlaxcala",2015,504474
"     Veracruz Norte",2015,3039822
"     Veracruz Sur",2015,1331473
"     Yucatán",2015,1165069
"     Zacatecas",2015,423167
