TotalDeteccionesdepadecimientos,anio,Total
"     Aguascalientes",2013,1027115
"     Baja California",2013,2772531
"     Baja California Sur",2013,752114
"     Campeche",2013,523461
"     Chiapas",2013,918003
"     Chihuahua",2013,2579759
"     Coahuila ",2013,2685744
"     Colima",2013,516827
"     D.F. Norte",2013,3166273
"     D.F. Sur",2013,5150030
"     Durango",2013,1480090
"     Guanajuato",2013,2750416
"     Guerrero",2013,1009999
"     Hidalgo",2013,966076
"     Jalisco",2013,5383043
"     México Oriente",2013,6209851
"     México Poniente",2013,2716608
"     Michoacán",2013,1655973
"     Morelos",2013,1017215
"     Nayarit",2013,733705
"     Nuevo León",2013,6077938
"     Oaxaca",2013,674034
"     Puebla",2013,1964193
"     Querétaro",2013,1092859
"     Quintana Roo",2013,708683
"     San Luis Potosí",2013,1411935
"     Sinaloa",2013,2343625
"     Sonora",2013,2054620
"     Tabasco",2013,828150
"     Tamaulipas",2013,2454186
"     Tlaxcala",2013,478647
"     Veracruz Norte",2013,2406934
"     Veracruz Sur",2013,1392226
"     Yucatán",2013,1236780
"     Zacatecas",2013,433773
