TotalDeteccionesdepadecimientos,anio,Total
"     Aguascalientes",2005,465132
"     Baja California",2005,1067383
"     Baja California Sur",2005,282693
"     Campeche",2005,271820
"     Chiapas",2005,398994
"     Chihuahua",2005,1449548
"     Coahuila ",2005,1595037
"     Colima",2005,270634
"     D.F. Norte",2005,1774683
"     D.F. Sur",2005,1863513
"     Durango",2005,588530
"     Guanajuato",2005,1549394
"     Guerrero",2005,661537
"     Hidalgo",2005,447026
"     Jalisco",2005,2591559
"     México Oriente",2005,2673986
"     México Poniente",2005,1160683
"     Michoacán",2005,889589
"     Morelos",2005,509009
"     Nayarit",2005,339009
"     Nuevo León",2005,2125124
"     Oaxaca",2005,371343
"     Puebla",2005,1137172
"     Querétaro",2005,596188
"     Quintana Roo",2005,422284
"     San Luis Potosí",2005,789338
"     Sinaloa",2005,1200253
"     Sonora",2005,895737
"     Tabasco",2005,347952
"     Tamaulipas",2005,1176465
"     Tlaxcala",2005,248268
"     Veracruz Norte",2005,1127403
"     Veracruz Sur",2005,1007200
"     Yucatán",2005,782603
"     Zacatecas",2005,386596
