TotalDeteccionesdepadecimientos,anio,Total
"     Aguascalientes",2007,419837
"     Baja California",2007,1253358
"     Baja California Sur",2007,294712
"     Campeche",2007,246528
"     Chiapas",2007,627692
"     Chihuahua",2007,1310022
"     Coahuila ",2007,1444815
"     Colima",2007,236302
"     D.F. Norte",2007,1696246
"     D.F. Sur",2007,1891982
"     Durango",2007,664546
"     Guanajuato",2007,1815008
"     Guerrero",2007,790561
"     Hidalgo",2007,457592
"     Jalisco",2007,2573374
"     México Oriente",2007,2702917
"     México Poniente",2007,1272272
"     Michoacán",2007,944828
"     Morelos",2007,483039
"     Nayarit",2007,451651
"     Nuevo León",2007,1671503
"     Oaxaca",2007,347770
"     Puebla",2007,911386
"     Querétaro",2007,630612
"     Quintana Roo",2007,509203
"     San Luis Potosí",2007,871452
"     Sinaloa",2007,858792
"     Sonora",2007,967724
"     Tabasco",2007,400924
"     Tamaulipas",2007,1062400
"     Tlaxcala",2007,275983
"     Veracruz Norte",2007,1507981
"     Veracruz Sur",2007,893809
"     Yucatán",2007,671114
"     Zacatecas",2007,247492
