TotalDeteccionesdepadecimientos,anio,Total
"     Aguascalientes",2006,576854
"     Baja California",2006,1434001
"     Baja California Sur",2006,338374
"     Campeche",2006,335159
"     Chiapas",2006,604866
"     Chihuahua",2006,1739153
"     Coahuila ",2006,1975991
"     Colima",2006,319402
"     D.F. Norte",2006,1808863
"     D.F. Sur",2006,2138114
"     Durango",2006,731304
"     Guanajuato",2006,2028725
"     Guerrero",2006,785601
"     Hidalgo",2006,563596
"     Jalisco",2006,3104431
"     México Oriente",2006,3202004
"     México Poniente",2006,1422666
"     Michoacán",2006,1070866
"     Morelos",2006,603423
"     Nayarit",2006,432423
"     Nuevo León",2006,2772061
"     Oaxaca",2006,437687
"     Puebla",2006,1247066
"     Querétaro",2006,733812
"     Quintana Roo",2006,565782
"     San Luis Potosí",2006,887880
"     Sinaloa",2006,1397581
"     Sonora",2006,1210467
"     Tabasco",2006,419188
"     Tamaulipas",2006,1504928
"     Tlaxcala",2006,298812
"     Veracruz Norte",2006,1346350
"     Veracruz Sur",2006,1109589
"     Yucatán",2006,958202
"     Zacatecas",2006,386287
