TotalDeteccionesdepadecimientos,anio,Total
"     Aguascalientes",2009,897546
"     Baja California",2009,1566564
"     Baja California Sur",2009,493950
"     Campeche",2009,300914
"     Chiapas",2009,993243
"     Chihuahua",2009,1590969
"     Coahuila ",2009,2220790
"     Colima",2009,405099
"     D.F. Norte",2009,3225253
"     D.F. Sur",2009,4891566
"     Durango",2009,895751
"     Guanajuato",2009,2494511
"     Guerrero",2009,948873
"     Hidalgo",2009,593890
"     Jalisco",2009,3260090
"     México Oriente",2009,4161149
"     México Poniente",2009,1701523
"     Michoacán",2009,1165930
"     Morelos",2009,764816
"     Nayarit",2009,448293
"     Nuevo León",2009,3799309
"     Oaxaca",2009,497041
"     Puebla",2009,1979344
"     Querétaro",2009,876092
"     Quintana Roo",2009,736978
"     San Luis Potosí",2009,1208627
"     Sinaloa",2009,1514605
"     Sonora",2009,1303972
"     Tabasco",2009,507914
"     Tamaulipas",2009,1549517
"     Tlaxcala",2009,387217
"     Veracruz Norte",2009,2044986
"     Veracruz Sur",2009,1003184
"     Yucatán",2009,1075975
"     Zacatecas",2009,373557
