estado_1,anio,porc_pob_seguridad_aliment,miles_perso_seguridad_aliment,porc_pob_inseguridad_aliment_leve,miles_perso_inseguridad_aliment_leve,porc_pob_inseguridad_aliment_moderada,miles_perso_inseguridad_aliment_moderada,porc_pob_inseguridad_aliment_severa,miles_perso_inseguridad_aliment_severa
aguascalientes,2016,65.500,858.420,17.300,226.270,9.600,125.530,7.600,99.710
baja_california,2016,72.700,2582.100,12.300,436.670,8.700,308.760,6.200,221.790
baja_california_sur,2016,64.400,511.080,16.400,130.370,11.400,90.670,7.800,61.700
campeche,2016,52.600,486.770,21.800,201.820,14.900,137.600,10.700,99.230
coahuila,2016,67.900,2040.010,16.000,481.130,9.100,274.660,7.000,210.010
colima,2016,61.300,453.000,17.600,130.170,12.700,94.140,8.400,62.150
chiapas,2016,51.000,2721.630,29.600,1578.600,13.100,700.620,6.300,336.310
chihuahua,2016,63.400,2381.140,18.400,692.590,9.800,369.890,8.300,313.390
ciudad_de_mexico,2016,74.200,6543.760,14.300,1263.870,7.200,636.680,4.300,377.530
durango,2016,62.400,1115.250,19.000,339.990,10.800,193.360,7.800,138.890
guanajuato,2016,60.400,3548.350,19.900,1167.040,11.500,675.360,8.300,486.780
guerrero,2016,45.700,1640.740,26.500,952.800,16.600,595.020,11.300,405.320
hidalgo,2016,49.500,1445.980,26.000,760.860,16.400,479.590,8.000,235.000
jalisco,2016,67.000,5391.890,17.600,1416.850,10.000,808.200,5.400,431.700
mexico,2016,57.400,9872.530,21.800,3745.460,12.900,2215.670,7.900,1357.070
michoacan,2016,51.500,2388.300,22.600,1046.380,14.300,664.620,11.600,537.420
morelos,2016,57.200,1115.890,23.300,453.450,13.600,265.030,5.900,115.090
nayarit,2016,58.000,727.100,22.000,276.040,12.000,150.420,7.900,99.270
nuevo_leon,2016,71.300,3694.570,14.300,739.670,7.500,386.960,6.900,357.710
oaxaca,2016,40.800,1651.520,27.800,1124.080,18.600,753.470,12.700,515.390
puebla,2016,57.100,3584.260,22.800,1427.450,12.200,767.420,7.900,493.070
queretaro,2016,67.000,1369.090,19.600,400.400,8.800,179.080,4.600,94.150
quintana_roo,2016,64.400,1052.270,19.200,312.920,9.900,161.690,6.500,106.010
san_luis_potosi,2016,59.400,1654.120,20.500,570.900,11.600,323.800,8.500,236.140
sinaloa,2016,58.100,1754.640,19.100,576.920,12.000,362.620,10.700,323.630
sonora,2016,63.300,1888.620,15.700,469.710,10.700,318.020,10.300,307.560
tabasco,2016,34.100,823.590,20.600,497.780,21.400,516.140,23.900,577.530
tamaulipas,2016,60.400,2172.330,20.300,730.830,12.700,455.000,6.600,236.820
tlaxcala,2016,55.000,714.860,22.900,297.760,13.800,179.870,8.300,108.360
veracruz,2016,51.600,4191.420,26.200,2127.630,12.600,1026.320,9.600,778.030
yucatan,2016,60.700,1307.230,20.000,431.330,12.600,271.910,6.700,143.400
zacatecas,2016,65.900,1049.950,19.000,302.460,8.600,137.520,6.400,102.340
