estado_1,anio,porc_pob_seguridad_aliment,miles_perso_seguridad_aliment,porc_pob_inseguridad_aliment_leve,miles_perso_inseguridad_aliment_leve,porc_pob_inseguridad_aliment_moderada,miles_perso_inseguridad_aliment_moderada,porc_pob_inseguridad_aliment_severa,miles_perso_inseguridad_aliment_severa
aguascalientes,2014,60.600,771.470,17.900,227.860,11.800,150.160,9.800,124.360
baja_california,2014,71.600,2465.690,11.200,386.580,9.900,341.930,7.300,249.910
baja_california_sur,2014,59.000,440.990,16.400,122.920,13.100,97.880,11.500,85.780
campeche,2014,51.900,465.240,23.900,214.100,14.300,128.300,10.000,89.310
coahuila,2014,59.400,1744.470,18.600,544.610,12.000,351.960,10.000,294.820
colima,2014,57.300,408.350,17.300,123.340,13.400,95.780,12.000,85.680
chiapas,2014,43.500,2262.450,28.900,1504.580,18.200,946.480,9.300,484.060
chihuahua,2014,66.000,2429.800,15.300,562.140,8.800,325.070,9.900,362.900
ciudad_de_mexico,2014,76.900,6782.960,11.400,1005.630,8.200,723.000,3.500,308.500
durango,2014,64.000,1120.330,16.100,281.830,10.700,188.230,9.200,161.020
guanajuato,2014,59.500,3429.240,17.600,1012.170,14.000,804.420,9.000,517.850
guerrero,2014,35.400,1257.490,26.100,927.370,21.500,762.230,17.000,603.190
hidalgo,2014,47.100,1341.470,21.300,605.800,18.500,526.240,13.200,376.790
jalisco,2014,68.500,5384.220,15.000,1177.260,9.300,728.910,7.300,570.370
mexico,2014,59.700,9947.200,19.000,3175.600,12.500,2086.040,8.800,1464.250
michoacan,2014,43.200,1976.270,22.100,1010.830,18.400,840.690,16.300,743.950
morelos,2014,48.100,913.720,25.100,476.910,15.100,286.390,11.800,224.060
nayarit,2014,54.500,658.000,21.300,257.580,13.900,167.530,10.300,123.770
nuevo_leon,2014,74.300,3729.260,11.600,581.560,7.500,377.570,6.600,333.340
oaxaca,2014,36.600,1460.140,27.300,1088.700,21.400,853.330,14.700,586.960
puebla,2014,49.900,3061.300,26.200,1609.680,14.200,873.680,9.600,589.520
queretaro,2014,66.700,1317.740,17.600,347.530,10.000,198.290,5.700,113.530
quintana_roo,2014,60.200,928.490,16.500,254.510,11.600,178.050,11.700,180.150
san_luis_potosi,2014,58.300,1589.330,20.000,545.900,11.900,323.090,9.800,266.860
sinaloa,2014,51.700,1532.800,18.700,553.050,15.300,453.750,14.300,424.800
sonora,2014,57.900,1679.560,17.300,501.260,13.600,393.500,11.300,328.040
tabasco,2014,41.400,976.120,13.600,321.170,21.900,516.590,23.100,545.970
tamaulipas,2014,67.100,2352.990,13.400,471.410,11.200,393.160,8.300,291.360
tlaxcala,2014,54.100,683.950,21.900,277.050,14.000,177.280,10.000,126.220
veracruz,2014,44.000,3516.630,26.000,2076.160,17.400,1391.950,12.600,1004.620
yucatan,2014,62.800,1312.230,18.800,392.880,11.900,248.350,6.500,135.470
zacatecas,2014,66.100,1034.450,17.100,268.050,8.600,135.020,8.200,128.590
