estado_1,anio,porc_pob_seguridad_aliment,miles_perso_seguridad_aliment,porc_pob_inseguridad_aliment_leve,miles_perso_inseguridad_aliment_leve,porc_pob_inseguridad_aliment_moderada,miles_perso_inseguridad_aliment_moderada,porc_pob_inseguridad_aliment_severa,miles_perso_inseguridad_aliment_severa
aguascalientes,2012,63.300,783.890,15.200,188.060,10.400,128.740,11.100,137.600
baja_california,2012,74.400,2488.570,10.300,345.360,10.800,362.050,4.400,147.810
baja_california_sur,2012,65.700,460.860,12.400,87.320,10.100,71.110,11.800,82.500
campeche,2012,62.600,543.700,18.700,162.040,10.100,88.030,8.600,74.710
coahuila,2012,57.800,1653.420,21.100,602.700,10.500,301.010,10.700,305.020
colima,2012,61.200,421.640,16.500,113.960,11.300,77.630,11.000,75.980
chiapas,2012,50.400,2551.720,24.900,1260.110,13.700,691.900,11.100,560.470
chihuahua,2012,69.300,2503.180,12.300,442.970,10.800,388.370,7.600,275.540
ciudad_de_mexico,2012,71.900,6383.200,15.000,1334.060,10.000,890.120,3.000,267.390
durango,2012,64.800,1111.230,13.800,236.750,12.300,211.810,9.100,155.570
guanajuato,2012,51.400,2918.940,20.100,1144.310,13.700,779.720,14.700,837.350
guerrero,2012,29.300,1028.490,31.200,1094.330,23.700,829.400,15.800,552.860
hidalgo,2012,50.100,1392.180,24.900,691.660,14.900,415.060,10.000,278.860
jalisco,2012,60.100,4610.340,19.300,1477.730,12.400,947.160,8.300,632.690
mexico,2012,60.100,9708.320,22.300,3599.590,12.300,1990.650,5.400,867.400
michoacan,2012,49.300,2221.240,18.400,830.450,18.400,828.230,13.800,622.290
morelos,2012,44.300,822.310,25.000,463.440,18.700,347.170,12.000,222.870
nayarit,2012,47.500,552.330,23.700,275.410,15.000,174.660,13.800,159.900
nuevo_leon,2012,65.800,3204.310,16.600,808.900,9.300,455.110,8.300,404.940
oaxaca,2012,41.000,1610.130,27.400,1075.990,18.300,719.980,13.300,524.630
puebla,2012,44.100,2649.830,25.800,1552.150,18.800,1128.420,11.400,684.950
queretaro,2012,58.900,1128.510,21.300,407.410,13.200,252.210,6.700,128.170
quintana_roo,2012,59.300,861.630,22.000,320.030,9.700,140.310,9.000,130.070
san_luis_potosi,2012,55.800,1496.020,19.500,521.900,12.600,336.830,12.100,325.030
sinaloa,2012,57.200,1664.370,17.000,493.720,12.300,357.920,13.600,395.090
sonora,2012,55.600,1566.940,18.400,519.510,12.600,354.700,13.400,379.250
tabasco,2012,48.800,1129.440,17.700,410.330,16.500,381.730,16.900,391.650
tamaulipas,2012,64.000,2193.800,16.900,578.680,10.200,349.150,9.000,308.100
tlaxcala,2012,47.000,578.640,24.500,301.940,16.300,200.050,12.100,149.320
veracruz,2012,45.900,3610.490,25.900,2038.050,16.600,1306.340,11.600,912.560
yucatan,2012,51.800,1056.570,23.100,471.560,15.300,311.450,9.800,200.830
zacatecas,2012,56.500,870.300,21.200,327.020,12.700,195.460,9.600,148.380
