Entidadfederativa,Periodo,PorcentajedelaTasa,Accidentesocurridosatrabajadoresbajoseguro,PoblaciónOcupada
Aguascalientes,2013,3.500,17213,495902
"Baja California",2013,3.100,45948,1461507
"Baja California Sur",2013,5.900,19830,334460
Campeche,2013,3.300,12961,389432
"Coahuila de Zaragoza",2013,4.300,54675,1257923
Colima,2013,4.800,15962,331068
Chiapas,2013,1.300,24156,1905557
Chihuahua,2013,2.600,38060,1477708
"Ciudad de México",2013,3.400,139187,4143840
Durango,2013,3.100,21255,685946
Guanajuato,2013,5.300,129213,2420785
Guerrero,2013,1.100,14906,1389976
Hidalgo,2013,3.800,43836,1151136
Jalisco,2013,3.600,120397,3341528
México,2013,3.300,221057,6684093
"Michoacán de Ocampo",2013,4.900,87899,1812320
Morelos,2013,2.900,22825,776691
Nayarit,2013,4.400,22502,515812
"Nuevo León",2013,4.000,87314,2174257
Oaxaca,2013,2.300,37301,1606754
Puebla,2013,3.500,89584,2543533
Querétaro,2013,2.100,15372,736423
"Quintana Roo",2013,5.300,37992,710611
"San Luis Potosí",2013,3.200,35926,1108223
Sinaloa,2013,4.900,59630,1210836
Sonora,2013,4.300,54102,1250266
Tabasco,2013,4.000,36735,918122
Tamaulipas,2013,5.300,78749,1487936
Tlaxcala,2013,2.900,14936,520418
"Veracruz de Ignacio de la Llave",2013,2.500,77427,3113390
Yucatán,2013,3.900,37559,968430
Zacatecas,2013,3.600,21410,596732
Hombres,2013,4.200,1277318,30629440
Mujeres,2013,2.400,458601,18892175
"De 15 a 19 años",2013,1.700,58275,3491103
"De 20 a 24 años",2013,3.300,187256,5690003
"De 25 a 29 años",2013,3.500,213357,6018825
"De 30 a 34 años",2013,4.000,230256,5825538
"De 35 a 39 años",2013,4.100,247041,6015174
"De 40 a 44 años",2013,3.500,209667,6041235
"De 45 a 49 años",2013,4.100,204320,4947048
"De 50 a 54 años",2013,3.400,139491,4120976
"De 55 a 59 años",2013,3.800,114596,3023125
"De 60 a 64 años",2013,3.800,71776,1897742
"De 65 años y más",2013,2.400,59884,2450846
"Población menor de 65",2013,3.600,1676035,47070769
"Población de 65 y más",2013,2.400,59884,2450846
