Entidadfederativa,Periodo,PorcentajedelaTasa,Accidentesocurridosatrabajadoresbajoseguro,PoblaciónOcupada
Aguascalientes,2004,3.670,14055,382872
"Baja California",2004,1.520,18666,1226634
"Baja California Sur",2004,2.000,4042,201608
Campeche,2004,2.190,6690,305195
"Coahuila de Zaragoza",2004,2.030,18687,920580
Colima,2004,1.660,4366,263709
Chiapas,2004,1.160,17509,1506302
Chihuahua,2004,1.320,16945,1280237
"Ciudad de México",2004,2.460,92270,3746207
Durango,2004,2.370,12006,506868
Guanajuato,2004,2.220,39694,1791127
Guerrero,2004,1.370,15333,1118814
Hidalgo,2004,1.880,17021,904532
Jalisco,2004,2.350,63626,2706652
México,2004,2.430,139162,5725989
"Michoacán de Ocampo",2004,1.020,15129,1484546
Morelos,2004,3.340,22143,662217
Nayarit,2004,3.380,12343,364771
"Nuevo León",2004,1.910,33291,1742207
Oaxaca,2004,0.820,11277,1381477
Puebla,2004,2.290,51262,2239562
Querétaro,2004,0.710,4286,606259
"Quintana Roo",2004,2.250,10390,461691
"San Luis Potosí",2004,1.270,11493,904514
Sinaloa,2004,2.640,27991,1061748
Sonora,2004,1.360,12594,923297
Tabasco,2004,1.530,11875,775320
Tamaulipas,2004,2.040,25158,1231975
Tlaxcala,2004,1.160,4509,389876
"Veracruz de Ignacio de la Llave",2004,1.800,46595,2587841
Yucatán,2004,0.790,5957,751598
Zacatecas,2004,1.780,8436,475055
Hombres,2004,2.400,623791,25971244
Mujeres,2004,1.170,171010,14660036
"De 15 a 19 años",2004,0.170,6333,3694460
"De 20 a 24 años",2004,0.250,12798,5121744
"De 25 a 29 años",2004,0.710,36956,5222776
"De 30 a 34 años",2004,0.980,52217,5328824
"De 35 a 39 años",2004,1.230,60944,4967098
"De 40 a 44 años",2004,1.740,80161,4603295
"De 45 a 49 años",2004,2.620,95940,3660812
"De 50 a 54 años",2004,3.390,97881,2884873
"De 55 a 59 años",2004,4.610,89158,1935669
"De 60 a 64 años",2004,6.890,95927,1393121
"De 65 años y más",2004,9.150,166486,1818608
"Población menor de 65",2004,1.620,628315,38812672
"Población de 65 y más",2004,9.150,166486,1818608
