Entidadfederativa,Periodo,Porcentajeactivaafiliadaaseguridadsocial,Poblaciónde15añosymásactivaseguridadsocial,Poblaciónactiva
Aguascalientes,2004,59.300,237878,401127
"Baja California",2004,59.010,737757,1250212
"Baja California Sur",2004,63.420,130733,206130
Campeche,2004,41.410,128594,310525
"Coahuila de Zaragoza",2004,69.920,671264,959980
Colima,2004,51.340,138025,268862
Chiapas,2004,21.390,328221,1534451
Chihuahua,2004,62.520,818675,1309458
"Ciudad de México",2004,55.340,2197470,3970635
Durango,2004,47.860,257527,538111
Guanajuato,2004,40.830,764441,1872072
Guerrero,2004,27.570,310923,1127888
Hidalgo,2004,27.850,258610,928746
Jalisco,2004,47.160,1328291,2816659
México,2004,48.540,2923283,6022283
"Michoacán de Ocampo",2004,29.060,442318,1522299
Morelos,2004,38.370,261571,681659
Nayarit,2004,44.340,166510,375562
"Nuevo León",2004,68.320,1251516,1831858
Oaxaca,2004,22.420,313934,1399987
Puebla,2004,23.580,537552,2279840
Querétaro,2004,48.650,304492,625851
"Quintana Roo",2004,55.280,261701,473451
"San Luis Potosí",2004,39.360,365270,928053
Sinaloa,2004,55.010,611485,1111636
Sonora,2004,59.280,580271,978853
Tabasco,2004,36.350,287897,791935
Tamaulipas,2004,58.880,758964,1289002
Tlaxcala,2004,32.110,130150,405291
"Veracruz de Ignacio de la Llave",2004,34.680,928583,2677875
Yucatán,2004,46.760,357464,764487
Zacatecas,2004,35.230,171600,487137
Hombres,2004,41.680,11191826,26851737
Mujeres,2004,50.820,7771144,15290178
"De 15 a 19 años",2004,28.660,1163559,4060030
"De 20 a 24 años",2004,43.200,2368248,5481564
"De 25 a 29 años",2004,49.470,2703873,5465732
"De 30 a 34 años",2004,49.130,2691201,5477899
"De 35 a 39 años",2004,48.150,2450696,5089878
"De 40 a 44 años",2004,50.070,2348583,4690328
"De 45 a 49 años",2004,49.400,1842374,3729454
"De 50 a 54 años",2004,45.580,1338694,2936873
"De 55 a 59 años",2004,43.630,857802,1966038
"De 60 a 64 años",2004,40.860,574432,1405855
"De 65 años y más",2004,33.920,623508,1838264
"Población menor de 65",2004,45.500,18339462,40303651
"Población de 65 y más",2004,33.920,623508,1838264
