Entidadfederativa,Periodo,Porcentajeactivaafiliadaaseguridadsocial,Poblaciónde15añosymásactivaseguridadsocial,Poblaciónactiva
Aguascalientes,2009,55.770,254194,455825
"Baja California",2009,55.310,772953,1397565
"Baja California Sur",2009,60.720,161660,266221
Campeche,2009,45.820,157601,343986
"Coahuila de Zaragoza",2009,68.710,769974,1120595
Colima,2009,50.690,144064,284227
Chiapas,2009,22.670,384903,1697643
Chihuahua,2009,54.360,754690,1388250
"Ciudad de México",2009,53.950,2231965,4136861
Durango,2009,52.020,308515,593035
Guanajuato,2009,40.160,791021,1969795
Guerrero,2009,25.150,319885,1271806
Hidalgo,2009,31.400,303521,966691
Jalisco,2009,50.410,1545437,3065521
México,2009,46.300,2914706,6295176
"Michoacán de Ocampo",2009,34.120,569984,1670332
Morelos,2009,39.690,287286,723885
Nayarit,2009,44.440,191176,430225
"Nuevo León",2009,67.160,1386683,2064876
Oaxaca,2009,21.300,311264,1461007
Puebla,2009,26.230,592834,2259898
Querétaro,2009,49.840,341891,685936
"Quintana Roo",2009,52.970,337310,636796
"San Luis Potosí",2009,43.450,434805,1000652
Sinaloa,2009,55.360,631868,1141385
Sonora,2009,60.600,644044,1062780
Tabasco,2009,38.050,312871,822165
Tamaulipas,2009,54.780,770237,1406169
Tlaxcala,2009,27.020,136043,503414
"Veracruz de Ignacio de la Llave",2009,36.840,1060663,2879444
Yucatán,2009,45.480,404970,890470
Zacatecas,2009,35.320,191198,541319
Hombres,2009,41.650,11858325,28472150
Mujeres,2009,50.480,8561891,16961800
"De 15 a 19 años",2009,26.010,936067,3598809
"De 20 a 24 años",2009,40.280,2218620,5508070
"De 25 a 29 años",2009,46.430,2613668,5628961
"De 30 a 34 años",2009,47.020,2657992,5653155
"De 35 a 39 años",2009,47.440,2728985,5753050
"De 40 a 44 años",2009,49.030,2591413,5285752
"De 45 a 49 años",2009,48.590,2160831,4446742
"De 50 a 54 años",2009,50.590,1789743,3537419
"De 55 a 59 años",2009,48.560,1181198,2432582
"De 60 a 64 años",2009,45.590,693559,1521222
"De 65 años y más",2009,41.010,848140,2068188
"Población menor de 65",2009,45.130,19572076,43365762
"Población de 65 y más",2009,41.010,848140,2068188
