Entidadfederativa,Periodo,Porcentajedehogarescongastoensegurosdesalud_decilesdeingreso,Hogares_decilesdeingreso,Hogarescongastoensegurosdesalud_decilesdeingreso
Aguascalientes,2012,1.930,324641,6265
"Baja California",2012,0.000,953526,0
"Baja California Sur",2012,1.660,203904,3390
Campeche,2012,0.000,240267,0
"Coahuila de Zaragoza",2012,3.550,825331,29319
Colima,2012,0.390,189297,736
Chiapas,2012,0.480,1210648,5775
Chihuahua,2012,0.240,1081438,2644
"Ciudad de México",2012,2.140,2579641,55239
Durango,2012,1.400,451999,6318
Guanajuato,2012,0.790,1386321,10940
Guerrero,2012,2.060,914415,18831
Hidalgo,2012,1.240,728446,9054
Jalisco,2012,0.600,1881404,11307
México,2012,0.530,4369319,23221
"Michoacán de Ocampo",2012,0.270,1097516,2947
Morelos,2012,0.980,545964,5376
Nayarit,2012,1.370,314370,4304
"Nuevo León",2012,2.520,1386126,34990
Oaxaca,2012,0.450,1057707,4768
Puebla,2012,1.680,1550920,26088
Querétaro,2012,2.330,572312,13312
"Quintana Roo",2012,0.400,404545,1625
"San Luis Potosí",2012,0.950,741493,7060
Sinaloa,2012,1.620,779572,12613
Sonora,2012,6.340,821949,52092
Tabasco,2012,1.300,626728,8156
Tamaulipas,2012,0.490,996265,4886
Tlaxcala,2012,0.210,302618,628
"Veracruz de Ignacio de la Llave",2012,1.290,2112160,27262
Yucatán,2012,1.370,493542,6753
Zacatecas,2012,1.780,414995,7379
