Entidadfederativa,Periodo,Porcentajedehogarescongastoensegurosdesalud_decilesdeingreso,Hogares_decilesdeingreso,Hogarescongastoensegurosdesalud_decilesdeingreso
Aguascalientes,2016,1.700,341350,5812
"Baja California",2016,1.030,1049288,10781
"Baja California Sur",2016,1.480,236453,3503
Campeche,2016,1.330,252342,3365
"Coahuila de Zaragoza",2016,1.130,825653,9290
Colima,2016,1.380,215577,2978
Chiapas,2016,0.490,1311008,6459
Chihuahua,2016,0.680,1085418,7334
"Ciudad de México",2016,3.310,2734158,90467
Durango,2016,1.080,481539,5218
Guanajuato,2016,0.680,1498617,10197
Guerrero,2016,0.560,993867,5590
Hidalgo,2016,0.470,770492,3596
Jalisco,2016,3.140,2146201,67381
México,2016,0.670,4424438,29493
"Michoacán de Ocampo",2016,1.190,1260398,15057
Morelos,2016,1.580,558521,8835
Nayarit,2016,1.660,352960,5846
"Nuevo León",2016,1.830,1405532,25651
Oaxaca,2016,0.190,1085210,2014
Puebla,2016,0.780,1652965,12860
Querétaro,2016,0.720,550778,3954
"Quintana Roo",2016,1.390,483805,6716
"San Luis Potosí",2016,1.110,752938,8360
Sinaloa,2016,0.760,815652,6203
Sonora,2016,1.750,858245,15030
Tabasco,2016,1.030,644364,6630
Tamaulipas,2016,0.820,1046512,8568
Tlaxcala,2016,0.790,320199,2538
"Veracruz de Ignacio de la Llave",2016,0.450,2299388,10240
Yucatán,2016,1.360,582961,7904
Zacatecas,2016,0.720,425769,3057
