Entidadfederativa,Periodo,Porcentajedelgastodelhogarensalud_decildeingresos,Gastodelhogarensalud_decildeingresos,Gastocorrientemonetariotrimestraldeloshogares
Aguascalientes,2014,3.700,366,9893
"Baja California",2014,1.400,359,25615
"Baja California Sur",2014,2.230,132,5924
Campeche,2014,2.140,140,6535
"Coahuila de Zaragoza",2014,2.550,588,23041
Colima,2014,1.770,110,6225
Chiapas,2014,2.710,501,18481
Chihuahua,2014,2.710,501,18481
"Ciudad de México",2014,2.890,3183,109999
Durango,2014,2.310,233,10083
Guanajuato,2014,2.760,978,35472
Guerrero,2014,4.220,723,17118
Hidalgo,2014,3.460,579,16735
Jalisco,2014,3.220,1956,60809
México,2014,0.750,871,116406
"Michoacán de Ocampo",2014,4.780,1184,24778
Morelos,2014,2.210,325,14704
Nayarit,2014,3.190,268,8389
"Nuevo León",2014,1.350,627,46529
Oaxaca,2014,3.050,518,16994
Puebla,2014,4.090,1478,36168
Querétaro,2014,2.510,369,14690
"Quintana Roo",2014,1.610,203,12591
"San Luis Potosí",2014,2.530,418,16548
Sinaloa,2014,1.300,277,21251
Sonora,2014,3.240,782,24122
Tabasco,2014,1.770,262,14763
Tamaulipas,2014,2.640,648,24530
Tlaxcala,2014,1.970,144,7319
"Veracruz de Ignacio de la Llave",2014,2.710,1183,43600
Yucatán,2014,4.500,683,15177
Zacatecas,2014,2.980,254,8531
