Entidadfederativa,Periodo,Porcentajedelgastodelhogarensalud_decildeingresos,Gastodelhogarensalud_decildeingresos,Gastocorrientemonetariotrimestraldeloshogares
Aguascalientes,2010,2.920,231,7918
"Baja California",2010,2.110,551,26149
"Baja California Sur",2010,2.980,168,5647
Campeche,2010,3.330,172,5171
"Coahuila de Zaragoza",2010,1.730,321,18573
Colima,2010,2.630,137,5200
Chiapas,2010,2.630,399,15180
Chihuahua,2010,1.280,226,17639
"Ciudad de México",2010,3.900,3509,89941
Durango,2010,3.210,273,8496
Guanajuato,2010,2.560,717,27958
Guerrero,2010,2.410,352,14593
Hidalgo,2010,3.870,414,10684
Jalisco,2010,2.230,1215,54492
México,2010,2.330,2381,102346
"Michoacán de Ocampo",2010,3.980,824,20724
Morelos,2010,3.530,405,11483
Nayarit,2010,3.020,221,7319
"Nuevo León",2010,2.620,1059,40363
Oaxaca,2010,2.990,457,15268
Puebla,2010,2.280,708,31051
Querétaro,2010,2.160,257,11888
"Quintana Roo",2010,2.520,287,11402
"San Luis Potosí",2010,3.350,581,17332
Sinaloa,2010,2.790,476,17061
Sonora,2010,2.830,522,18419
Tabasco,2010,1.420,153,10800
Tamaulipas,2010,2.290,442,19299
Tlaxcala,2010,2.900,191,6580
"Veracruz de Ignacio de la Llave",2010,2.070,784,37802
Yucatán,2010,2.530,302,11936
Zacatecas,2010,2.860,195,6827
